日本語,英語,例文,,
金目（かねめ）,Monetary value,金目の物を根こそぎ盗まれる。,,
富の象徴,A status symbol,,,
象牙（ぞうげ）,Ivory,,,
誹り（そしり）,Libel/slander,,,
給与収入,Salaried income,,,
事業収入,Enterprise income,,,
美的感覚,A sense of beauty,部屋は美的センスがいいThe room is aesthetically pleasing.,,
美学,Aesthetics,英語と一緒の使い方はほとんどない」男・女の美学。,,
どっきりする,To be surprised,,,
どっきりカメラ,Candid camera,,,
掘り起こす,To dig up,今まで隠れていた物事を見つけ出す」球根を掘り起こす。畑を掘り起こす。街の歴史をほろ起こす。,,
見透かす,To see through,見透かされるTo be seen through/to be see through嘘をついてのを見透かされて答えに困った。,,
凝らす,To focus intently on,趣向を凝らす。目を凝らす。,,
申し子（もうしご）,A godsend/a blessed child,,,
前身（ぜんしん）,A former existence,彼の前身について何かご存知ですか。気象庁の前身は中央気象台である。,,
叩きつける,To hit together with force,,,
圧迫,"Pressure, to pressure",,,
奉献する（ほうけん）・奉る（たてまつる）,"Dedication, to dedicate",,,
転換点・転機,A turning point,,,
抑留する,"Detainment, to detain",抑留者A detainee,,
軍需（ぐんじゅ）,Munitions,,,
原産地,Place of origin (food etc),,,
気が引ける,To show/have reservations,忙しいから、友達の結婚式に行けないのは気が引ける。かつての仲間と戦うのは気が引ける。,,
波浪（はろう）,Surging waves/storm surge,,,
意固地な（いこじ）「を通す」,To be obstinant,意固地を通す。意固地な人。,,
荒む（すさ）,To be wild,荒んだ言葉はすさんだ心を表す。彼の生活はすさんでいる。気持ちがすさんでる。,,
焚き付ける（た）,To kindle/instigate,,,
足回り,Suspension of a vehicle,,,
自己正当化する,"Self justification, to self justify",,,
慰安（いあん）,"Consolation, to console",慰安旅行。慰安婦。自己慰安,,
残念賞,A consolation prize,,,
妥当性,Validity,うまく適合する度合い」,,
数値化する,"Numeralization, to numeralize",,,
白内障（はくないしょう）,A cataract,,,
ばら売りする,"Selling separately, to sell separately",,,
分離不安障害,Separation anxiety,,,
独眼,To have one eye,,,
眉間（みけん）,Between the eyes,,,
ヒステリー,Hysteria,,,
出馬する（しゅつば）,To run for election,彼は大統領に出馬しないことに決めた。,,
ごそごそ「と」,With a rustle,隣の部屋で夜遅くまでごそごそする音がする。押入れの中をごそごそとかき回す。のりが利きすぎて浴衣がごそごそとする。,,
怠りなく（おこた）,Diligently,,,
こつこつ,Diligently,仕事をコツコツこなす。コツコツと勉強する。コツコツやれば試験に受かるだろう。彼はコツコツ事実を調べていた。大きな成功はコツコツ努力した結果である。彼は仕事をコツコツやった。,,
環境雑音,Ambient noise,,,
練度,Level of training,,,
取り回しする,To take in one's hand and spin,手に取って回す」,,
初々しい（ういうい）,To be green (know nothing of something),,,
世間ずれする,To be street smart/knowledgeable of society,,,
世間慣れする,To have life experience,,,
物慣れ、物慣れる,To be used to doing something,物慣れた様子の店員。物慣れした対応。,,
一読する（いちどく）,To read once/once through,一読の価値がある本。,,
生家（せいか）,Place of birth,,,
うぶ「である」,To be naive,,,
高射砲（こうしゃほう）,An anti aircraft gun,,,
超絶的な・超絶した,To be extraordinary,,,
遜色（そんしょく）,Inferiority,,,
遜色のない,To be comparable,入賞作に比べても遜色のない出来だ。,,
～に心痛する,To be deeply worried,生徒の非行に心痛する。,,
借り上げる,Government or superior borrows from a civilian or inferior,,,
校庭（こうてい）,A schoolyard (field),,,
給湯（きゅうとう）,Hot water supply,,,
合奏（がっそう）,A concert/ensemble,,,
うんぬんする,"Critisism, to critisize",軽々しくうんぬんすべき事柄ではない。,,
臨む,To face (a difficulty etc),直面する。面して見える」,,
なくなり具合・減り具合,"Current condition (amount, deteriorization)",消耗品の残量」,,
切っての～,The best/most,野球界切っての理論家。その界隈切っての暴れん坊。,,
しこり・たんこぶ・瘤（こぶ）,A lump,,,
対抗馬（ば）,A rival horse/rival candidate,,,
幾重（いくえ）,Many times,幾重お詫びを申し上げます。,,
紛糾（ふんきゅう）,Disorder,予算委員会が紛糾する。,,
旗竿（はたざお）,A flagpole,,,
間口（まぐち）・幅,Width,,,
走路,A running track,,,
席次,Seating order,座席の順次」,,
判定士,An examiner,,,
遺書（いしょ）・遺言書（ゆいごんしょ）,A death note (a will etc. left when someone knows they will die),,,
摂理（せつり）,Divine providence (all things happen according to God's will),,,
憐憫（れんびん）,Pity,自己憐憫Self pity,,
気功,A breathing exercise,,,
左記（さき）、右記（うき）,Mentioned/written on the left/right,,,
失政（しっせい）,Misgovernment,,,
聖火台,An Olympic flame torch holder,,,
庭球（ていきゅう）,Tennis,庭球場。,,
弾劾する（だんがい）,"Impeachment, to impeach",,,
見え消し「で」・見せ消ち,To correct with a strikethrough etc. (so you can see mistakes),見え消しで添削する。,,
殺傷する,To kill or injure,,,
倍加する,To increase,,,
脚本・台本（だいほん）,A script,,,
属国,A vassal country (dependency),,,
遅まきながら（おそ）,To be belated,自爆ドローン攻撃対策は遅まきながら戦術を考え始めた。,,
民生,Consumer,,,
羅列する,To exemplify (list out),,,
転用する,"Conversion, to convert",車転用した家。農地転用。住宅資金を教育費に転用する。,,
鉄くず,Iron scraps,,,
貞操・操（みさお）,Chastidy,,,
草原（くさはら）,A grassy field,,,
血友病（けつゆうびょう）,Hemophilia,,,
場末（ばすえ）,The outskirts,町の場末の店。,,
同点・引き分け・相打ち・相子,A tie/draw,,,
表面化する・浮き上がる,To surface,,,
照射する,To irradiate/illuminate,,,
直腸（ちょくちょう）,The rectum,,,
罹患する（りかん）,"Contraction, to contract an illness",,,
ごっそり～,Completely,癌のある患部をごっそりとる。,,
吹き抜け・ホワイエ,A foyer,,,
源流,A riverhead,,,
散歩道（さんぽどう）,A walking path/walkway,,,
賦存量（ふぞんりょう）,Abundance,,,
省エネルギー,Power saving,,,
創エネルギー,Power generation,,,
給湯器（きゅうとう）,A hot water heater,,,
不凍液,Antifreeze,,,
底力（そこぢから）,Latent energy,彼の声には底力がある。,,
灯具（とうぐ）,Lamp fittings,,,
掲揚する（けいよう）,"Flying a flag, to fly a flag",,,
真髄・神髄（しんずい）,The essence/quintessence,実はこれこそが科学の真髄である。地自由こそはまさに我々の民主主義の真髄だ。,,
至宝（しほう）,One's most valuable treasure,,,
首席,The top seat/person,首席で卒業する。首席代表。,,
賽銭箱（さいせん）,An offering box at a temple,,,
焼夷弾（しょうい）,An incendiary bomb,,,
隆盛（りゅうせい）,To be prosperous,隆盛を極める。隆盛な社運。,,
バリカン,Hair clippers,,,
引っ張りだこ・引く手数多（ひくてあまた）,To be popular,,,
白旗,A white flag,白旗を振りかざす。,,
闘病する,"Fighting a sickness, to fight a sickness",,,
選び取る,To choose and take,,,
かためとる,To arrest,,,
激化する,"Intensification, to intensify",,,
一過性「の」,"To be transient, for an illness to be temporary",一過性発熱。一過性の動向。一過性のブーム。,,
頑な（かたく）「な」,To be stubborn,頑なに拒み続ける。頑な態度。,,
向き直る,To change direction,,,
移送する,To transfer/to shuttle,移送ベルト。移送ポンプ。,,
分館,An annex (an addition to a building),,,
憩いの場（いこ）,A resting place,,,
生活の質,Quality of life,,,
支援ネットワーク≪話≫支援網≪書≫,A support network,,,
耐衝撃性,Shock resistance,,,
胃が張る,For one's stomach to bloat,,,
伝書鳩（でんしょばと）,A carrier pigeon,,,
土産話（みやげばなし）,A tale of one's travels,,,
制覇する（せいは）,"Conquest, to conquer",,,
連なり（つら）・連続の・一連の,A series of,,,
オンパレード,A succession of,一連の」,,
足代（あしだい）,Travel expenses,それは足代にもならない。,,
足台,A footstool,,,
見下す・見下げる,To look down on/to despise,,,
羨む（うらや）・妬ける（や）,To envy,,,
遺物,A relic/artifact,,,
減災する,To reduce damage after a disaster,,,
線虫（せんちゅう）,A roundworm,,,
黒煙（こくえん）,Graphite,,,
交際相手,A dating partner,,,
責め立てる,To harshly accuse someone,,,
人工芝（しば）,Astroturf,,,
寓意（ぐうい）,A fable,,,
湧水（ゆうすい）,A spring,,,
尾根（おね）,The ridge of a mountain,,,
野ざらし「の」,To be exposed to the elements,,,
浮き石（うきいし）,A loose rock,,,
どよめく,To make a stir,,,
こよなく,Greatly,こよなく愛する。,,
写生する、写生画,"Sketching, to sketch, a sketch",写生帳。,,
接遇する・接待する,"Entertaining a guest, to entertain a guest",,,
忌憚（きたん）,Reserve,どうぞ忌憚のないご意見を。忌憚のない意見交換。,,
訴追（そつい）,"Taking legal action, to take legal action",,,
希釈する,"Dilution, to dilute",液体の濃度を溶媒を加えて薄めること」塩酸を水で希釈する。,,
主日,The Sabbath,,,
やんわり「と」,Gently,大統領はその繊細な質問に答えるk十をやんわりと否定した。,,
接戦,"Confrontation in battle, to confront in battle",,,
途切れのない、途切れなく・シームレスな,"To be seamless, seamlessly",途切れなく統合する。シームレス環境。シームレスアクセス。,,
取り払う,"Clearing away, to clear away",,,
歴任する,"Holding prominent positions, to hold prominent positions",,,
隠し事,"Hiding things, to hide something",親に隠し事をする。,,
収録する,To record audio or video,録画あるいは録音すること」,,
応酬する,"A retort, to retort (respond to someone)",,,
自画像,A self portrait,,,
保護主義,Protectionism,,,
批准する（ひじゅん）,"Ratification, to ratify",議案などが承認されてから署名して正式なものにすること」,,
柔軟化する,"Softening, to soften",,,
徐行する（じょこう）,To move slow (within instant stopping speed),,,
試乗する,"Test riding, to test ride",,,
湖畔（こはん）,A lakeside,,,
一握り「の」,A handful of,一握りの悪意を持った人がみんなに不利益をもたらす。,,
不定形「の」,To have an undetermined form,不定形の物。,,
感熱紙,Thermal paper,,,
遭難する、遭難者,"To be in distress, someone in distress",冬山で遭難する。彼らは山で遭難した。,,
DNA鑑定,A DNA analysis/test,,,
やつれる,To be worn out,,,
奥まる（おく）,To be secluded,,,
最終使用者・利用者,An end user,,,
放映時間・放送時間,Airtime,,,
ポロパン,Propane,ポロパンボンベ。,,
無我夢中「で」,A trance,私は無我夢中で部屋を飛び出した。彼はジャズのことになると無我夢中になる。,,
男色,Homosexuality,,,
異常値（ち）・外れ値（ち）,An outlier,,,
直下、直上（ちょくじょう）,To be directly below/above,,,
自ら招いた,To be self inflicted (not including physical),自分で傷をつけた。,,
同質性,To be homogeneous,,,
異質性,To be heterogeneous,,,
身震いする（みぶるい）,To shake (with positive or negative emotion),興奮で身震いする。犬が身震いして立ち上がった。戸外の冷気に接し無ぶるいする。,,
言い当てる,To guess correctly,,,
平均の法則,The law of averages,,,
末期疾患（まっき）,A terminal illness,この病気で確実に死ぬ」,,
消費主義,Consumerism,,,
自警する,To warn oneself,,,
一問一答する,To question one thing at a time,,,
感染性の,Infectious/contagious,,,
乱闘する,"A brawl, to brawl",,,
発動する,Putting into motion,,,
発足する（ほっそく）,"To start an organization, political party etc.",,,
凝固剤,A coagulant,,,
抗凝固剤,An anticoagulant,,,
活動度,Participation level,,,
二次災害予防をする,"Damage control, to get on damage control",,,
全地形型の,All terrain,全地形駆動車An all terrain vehicle,,
全天候型の,All weather,,,
先天的な・後天的な,"Innate, acquired",,,
苦渋（くじゅう）「の」,To be bitter,苦渋の決断。,,
憂い事（うれいごと）,Distress/grief,,,
贈答する（ぞうとう）,"A gift/item exchange, to exchange a gift/item",形式的な言い方」書状を贈答する。,,
溜まり場,A hangout spot,,,
行き付け「の」,A place one usually goes to,,,
延長線「で・上の」,As an extension of,趣味の延長線で小さな店を持つ。仕事の延長線。既存製品の延長線上にある。,,
変形する,"Deformation, to be deformed",変形してる身体。,,
老い,Old age,,,
斑点（はんてん）・斑（まだら）,A spot,,,
順序立てる,To order,,,
窘める（たしな）,To scold,,,
まばらな,To be sparse,9月の海は人がまばらだね。人通りもまばらな住宅街。まばらな出席。まばらな人口。,,
恒例（こうれい）,An established practice,毎年恒例の～。,,
でばがめ,A peeping tom,,,
贖罪（しょくざい）,Atonement for sins,,,
頭ごなし「に」,Without listening to one's side of the story,頭ごなしに彼をしかりつける。,,
引き戻す,To pull back to,現実に引き戻される。,,
襟（えり）,A collar,人の襟・首をつかんで叩きのめす。,,
竣工する（しゅんこう）,The completion of contruction,竣工式。,,
取り入れる,"To bring in, to adopt",外国の文化を取り入れる。洗濯物を取り入れる。,,
借地権,Land leasing rights,,,
物消費,The consumption of tangible objects,,,
事消費,The consumption of intangible objects,厳密に言えば物理的な物だけ消費できる。,,
健常者,A healhty person,,,
叩き落とす,To knock off,,,
元栓（もとせん）,A main valve,元栓を閉める。,,
出前する（でまえ）,"Delivery, to deliver (food only)",寿司の出前を頼む、そばを出前する。,,
褐色（かっしょく）,Dark brown,,,
返納する,To return to the government,,,
突き動かす,To stimulate,刺激する」熱心な説得に突き動かされる。,,
むすっとする,To be irritated and not talk,何が気に入らないのかムスッとしてる。彼は朝からムスッとしてる。,,
あっと言わせる,To surprise,世界をあっと言わせた大発見。,,
自愛する,"To take care of oneself, to love oneself",どうぞご自愛ください。,,
管弦楽団,An orchestra,,,
活動拠点,A base of operations,～に活動拠点を置く。,,
額装する,"A framed picture, to frame a picture",,,
初校,A first proof,,,
幸甚（こうじん）,To be thankful for,,,
画業,Painting works,,,
末期（まっき）,The final stages of/the end of,大正末期。,,
検閲する・モザイクをかける,"Censorship, to censor",,,
またもや,Again (emphasis),またを強調する・またしても」またもやさっそく返信してくれた。,,
義人（ぎじん）,A righteous person,,,
父母会,A parent association,,,
思考力,Thinking ability,,,
脳震盪（のうしんとう）,A concussion,脳震盪を起こす。,,
脳梗塞（のうこうそく）・脳卒中,A stroke,脳卒中を起こす。,,
たらふく食べる,To pig out on/to eat to one's heart's content,,,
縮図,A reduced figure,,,
ひくひくする,To twitch,,,
釣合い重り,A counterweight,,,
釣合いをとる,To counterbalance,部屋の壁が暗いから、家具は明るい色の物を置いて釣り合いをとる。今日は食べすぎたから、明日はあまり食べないようにして釣り合いをとる。,,
型押しする,To imprint/emboss,,,
辛勝する（しんしょう）,"A hard victory, to earn a hard victory",,,
所信表明演説,A policy speech,,,
振るう,To thrive,業績が振るわない。販売が振るわない。,,
いいえてる・いえてる,You can say that again,,,
躍らせる,To manipulate,操る」,,
陣取る（じんど）,To encamp/takeup position,,,
追いかけっこ・おにごっこ,Tag,,,
こじんまり「と」・こぢんまり・ちんまり「と」,To be snug,小ぢんまりとまとまる。小ぢんまりとした家。部屋の隅にちんまりと座る。ちんまりとした目鼻立ち。,,
名うて「な・の」・高名「な」,To be famous,,,
剣客（けんかく）,A swordsman,,,
相場師（そうばし）・思惑師,A speculator,,,
ちくる,To rat out/to tattle on,あの奴は本当に先生にちくりやがった。仲間をちくる。,,
木馬（もくば）,A wooden horse,,,
跳馬（ちょうば）,A vaulting horse,,,
打診する・瀬踏みする,To sound out,取引先の意向を瀬踏みしておく」,,
常識人（じん）,A captain of the obvious,,,
住環境,A living environment,,,
被保護者,A guardee,保護者による守られる」,,
没後（ぼつご）,After death,没後支援。,,
不用心な（ぶようじん）,To be careless,戸締りの不用心な家。夜道の一人歩きは不用心だ。,,
身体機能,A bodily function,,,
生活機能,A life function,,,
運動器,Exercise equipment,,,
炊事（すいじ）,Cooking,,,
肢体（したい）,Limbs,手足」,,
理容師,A barber,,,
本格的な,To be full blown,本格的な議論。本格的な危機。,,
募集要項,An application guidebook,,,
併願する,To apply to more than one school at once,,,
散見する（さんけん）,To be seen here and there,雑誌などに散見する新語。,,
袋叩きする（だたき）,"Ganging up on, to gang up on",袋叩きにあう。袋叩きにする。,,
貧弱,To be poor,貧弱なつくり。貧弱な語彙。中国語が貧弱。,,
やるせない,To be helpless,無力より度合いが強い」,,
むき出す,To bare/expose,歯をむき出す。,,
狭間（はざま）,A rift,,,
噴気孔（ふんきこう）,A blowhole (volcano also),クジラの噴気孔。,,
彩る（いろどる）,"To color in, to be coloful",冒険を彩る。壁を薄い緑に彩る。頬紅で彩る。花で食卓を彩る。数々の逸話で彩られた人物。,,
ごくごく,Extremely,ごくごく内緒の話。,,
印形（いんぎょう）,A seal,,,
世継ぎ・後任者,A sucessor,,,
勢いづく,To gather momentum,,,
喧噪する（けんそう）,Noisiness,,,
真顔,A serious face,,,
息遣い（いきづか）,Respiration/breathing,,,
ずらっと,In a row,商品がずらっと並んでる。,,
目が飛び出る,To be in shock,目玉が飛び出るほど高い。値段の高さに目が飛び出る。目が飛び出るほどの大金。,,
生え際（ぎわ）,A hair line,,,
求道する,"Seeking for the truth, to seek the truth",求道者A seeker of the truth,,
忍びない,To no be able to bear/stand,捨てるには忍びない。聞くに忍びない話。傷ついたポケモンを見るのは本当に忍びないだから。そんな場面を見るに忍びなかった。,,
高跳びする,To skip out/to skip town,彼らは高跳びしたらしい。海外へ高飛びする。,,
ずらかる,To beat it/to scram,なかったことにして、ずらかるぜ。あいつは登板をずらかった。今のうちにずらかろう。,,
ザイル,A climbing rope,,,
通過儀礼,A rite of passage,,,
経年変化,To change over time,,,
経年劣化,To degrade over time,,,
廉価（れんか）,A low price,廉価版。廉価品。,,
除夜（じょや）,New year's eve,除夜の鐘。,,
あやかし,A fool,,,
延々「と」,On an on,延々と続く車の列があった。テントの中で明け方まで延々とおしゃべりをした。彼は議会で延々と長広舌を振るうことで有名だ。販売促進に関する会議は延々と続いている。彼の演説は延々と続いた。誰一人自分が間違ってることを認めようとしなかったので議論が延々と続いた。,,
文字化けする（もじば）,For text to be corrupted,メッセージがなぜか文字化けしていた二で修復して読んだ。,,
胸が高鳴る（たかな）,For one's heart to pound,その話をすると胸が高鳴っていた。未来への希望で胸が高鳴る。,,
雇用安定・雇用保障・職務保障,Job security,,,
消し飛ぶ,To completely disappear,,,
避雷針（ひらいしん）,A lightning rod,,,
癲癇（てんかん）,An epilepsy,,,
よれよれ「の」,To be worn out,彼はよれよれの芝刈り機を持っていた。,,
楽屋（がくや）,A backstage room (dressing room etc),,,
兼ね備える,To be dually equipped with,照明と音響設備を兼ね備えた施設。その本を書いた人は機知とユーモアを兼ね備えた人だ。,,
分科（ぶんか）,A section (broken down by speciality),分科会A section meeting,,
ぼろい・ぼろっちい,To be worn out,,,
艶消し（つやけ）,Frosting (glass etc),,,
凹凸（おうとつ）,Unevenness,,,
金具（かなぐ）,A metal fitting (L bracket etc),,,
補色,A complimentary color,,,
追従する,To comply with someone's request,,,
深掘りする,To dig deeper,深く調べたり考えたりすること」従来の顧客を深堀する。問題の深堀。,,
すかす・きどる,To put on airs (to act better than one really is),すかしたやつ。,,
店頭見本,A display model,,,
坑道,A mine shaft,,,
降り立つ,To get off a vehicle and stand,,,
押し進める,To advance,彼女は物事を極端にまで押し進める傾向がある。仕事をどんどん押し進めるようにしましょう。私たちはパーティの計画を推し進めた。彼らは改革案を断固として押し進めるつもりだ。考えを推し進める。和平交渉を推し進める。包囲攻撃を推し進める。,,
パラボラアンテナ,A satellite dish,,,
編隊飛行する,To fly in formation,,,
矛先（ほこ）,A spearhead,,,
翼幅（よくふく）,A wingspan,,,
事細かな（ことこま）,To be detailed,事細かに説明する。,,
診療所,A medical clinic,,,
初期救急,Emergency treatment,,,
溌剌とした（はつらつ）,To be lively,活き活きとした」溌剌とした声。生気溌剌たる若者。,,
コウノトリ,A stork,,,
くっつける,To press together,,,
押し付ける,To push together,,,
命を吹き込まれる,To come to life,,,
負けず嫌い・負け嫌い,Someone who hates to lose,,,
負けじ魂（だ）,An unyielding spirit,負けないと奮い立つ」,,
勝気な（かちき）,An unyielding spirit,強く勝ちたい精神状態」,,
利かぬ気・利かん気,To be unyielding,きかんきな少年。,,
飯事をする（ままごと）,To play house,,,
存亡,Life or death,生か死か」会社の存亡をかけた企画。,,
間延びした（まのび）,To be slow,間延びした動作。間延びした話し方。間延びしたアニメの話。,,
戒厳,Martial law,戒厳令・戒厳を敷くTo declare martial law.,,
被疑者（ひぎしゃ）・容疑者,A suspect,,,
ちんけ「な」,To be inferior,,,
切り捨てる,To discard,,,
手先・下っ端,An underling,,,
はした金（がね）,Loose change,,,
潜伏する（せんぷく）,To go into hiding,容疑者は三週間山に潜伏していた。,,
勾留する（こう）,To detain,,,
旗手（きしゅ）,A standard bearer,,,
谷底（たにそこ）,The bottom of a valley,,,
本心,One's true feelings,本心を打ち明ける。彼は本心を隠すのがうまくなった。本心を打ち明けてすべてを話してくれ。彼女の言うことはそっくり本心とは言えない。彼はなかなか本心を明らかにしなかった。彼は私の本心を知ろうと私の顔を見つめた。,,
真に受ける,To  take seriously (a joke/lie etc.),人のウソ、冗談、お世辞、話などを真実だと思い込む」彼はこのインフレを深刻に受け止めていない。,,
荒唐無稽な（こうとうむけい）,Preposterous/absurd,,,
墓標（ぼひょう）,A gravemarker,,,
辞さない,To not hesitate to,不利な内容に変更された場合、協定離脱も辞さない意向を表明した。核兵器での攻撃を辞さないと宣言する。いかなる犠牲も辞さない覚悟。軍事力行使を辞さない態度。大統領に取り入ることも辞さない。,,
同調者,A sympathizer,,,
図抜ける,To excel at,ずば抜けるほど幅広く使えない。ほぼ使わない言葉」,,
冷や冷やとする、冷や冷やする,To be cold/ to worry,冷や冷やとした夜風。いつ見つかるかと冷や冷やした。,,
瀕死の,A near death～,瀕死の重傷を負う。瀕死の状態にある。瀕死の会社。瀕死の犬を救う。瀕死の経済をよみがえらせる。,,
報復合戦する,"A game of tit for tat, to play tit for tat (retaliation game)",,,
を股に掛けて≪副詞≫,All over,本人が移動する意味を含まなきゃ」世界を股にかけて旅する。世界を股にかける旅人。,,
牙城（がじょう）,A stronghold,,,
台頭する（たいとう）,"Emergence, to emerge",,,
排外的な,Anti-foreign,排外主義的なAnti-foreignistic,,
融解する,"Melting, to melt",,,
侵入盗（とう）,A breakin,,,
腕章（わんしょう）,An armband,,,
強靭な,To be tough/resilient,,,
火器・銃砲,A firearm,,,
雑踏（ざっとう）,A crowd,雑踏に紛れる。,,
留置する,"Dentention, to detain",,,
着こなし（き）,One's way of dressing,,,
最終製品,An end product,,,
宙ぶらりん「な・の」・優柔不断・煮え切らない,To be indecisive,宙ぶらりんな態度をとる。問題を宙ぶらりんのままにする。,,
擬人化する（ぎじん）,"Personification, to personify",,,
屯する（たむろ）,To hang out,否定的なイメージ」その喫茶店によくよく学生がたむろしてる。そこには500人の兵士がたむろしていた。,,
溢れ出す,To spillover (into the next area),水がタイタニック号の隔壁で次から次へと溢れ出していった。,,
刻み,An increment/graduation,5歳刻みIn increments of 5 years of age,,
嫌煙家（けんえんか）,A smoke hater,,,
出っ張り（でっぱり）・突起（とっき）,A protrusion (rock etc),,,
英才,To be gifted,英才教育AP education,,
内通者,An insider (betrayer),,,
不安がる,To be uneasy,,,
死守する,To desperately defend,,,
成敗する（せいばい）,"Punishment, to punish",懲らしめる」逆賊を成敗する。,,
振り出し,A starting point,小さな店を振り出しに大経営者になった。振り出しに戻った。,,
綻ぶ（ほころぶ）,To bloom,,,
のさばる,To act as one pleases/to throw ones weight around,帝国がこのままのさばれば俺のような人間が増える一方だ。,,
不純物,An impurity,,,
汚染物質,A pollutant,,,
白杖（はくじょう）,A white cane (a cane used by the visually impaired）,,,
逆賊,An insurgent,,,
理非を問う,To judge to be right or wrong,,,
物々しい（ものもの）,To be pretentious (exaggerated or made to look better than actuality),帝国の兵隊たちが街を歩き物々しさが前にも増やしていますが。,,
おおよそ～・大体,Mostly/almost entirely,,,
肩代わりする（かたが）,To shoulder someone else's debt,借金を肩代わりする。,,
雇用創出,Creation of employment,,,
相容れない（あいい）,To be in conflict with/to be mutually exlcusive with,我々の利益と彼らの利益は相いれない。そのような考えは我々の考えとは相いれない。その二つの性質は相いれない。良心と相いれない行為。他人を憎むことは彼女とは相いれない。彼の思想は時勢とは相いれなかった。,,
口先介入,Verbal intervention,,,
急行する,"Express~, to rush",急行バス。急行サービス。急行電車。急行料金。,,
通常業務,Routine work,,,
内覧する,"A private showing, to show privately",内内で見せる」内覧会。,,
機能訓練,Functional training,,,
成し得る,To be able to do,成し得てる仕事。,,
聞き分けのいい・悪い,To be reasonable (in listening to things),人の言うことに納得してそれに従う」,,
組み替える,To rearrange,遺伝子の組み換え。日程を組み替える。足の位置を組み替える。,,
裸木,A tree stripped of its bark,,,
剥げ落ちる,To peel off,,,
親子広場,A play group,,,
連続立体交差化,Continuous grade separation (railroad stays above/below road continuously),,,
矜持（きょうじ）,Pride,,,
度量,"A measurement, level of someone's generousity",度量の広い・大きい＝気前のよい、度量の狭い＝寛容ではない。,,
専修（せんしゅう）,Specialized～,専修学校。専修科目。経済学を専修する。,,
脳死、脳死「だ」,"Brain death, to be braindead",学生たちは長々と脳死の問題を議論していた。,,
公課,Public taxes,,,
公図,A public diagram,,,
毀損（き）,Damage,,,
滅失する（めっしつ）≪自≫,"Destruction, to be destroyed",火災で堂宇が滅失した。,,
かつかつ,Barely/scraping by,時間とお金の関係で」カツカツの生活を送ってる。仕事がカツカツ。,,
かつかつと,To clank/clunk,カツカツと音を立てて廊下を歩いてくる。,,
病み上がり（やみあ）,"Convalescence, a convalescent",料理は病み上がりの人にピッタリです。,,
根無し草（ねなしぐさ）,Someone who can't settle down in one place,,,
あらしめる,To make to be,形式ばった言葉であまり使わない」,,
水入らず（みずい）,To just be with the said party,夫婦水入らず、親子水入らず以外は使わない」たまには夫婦水入らずで温泉に行ってのんびりするのもいいもんだ。夫婦水入らずが気楽でいい。,,
しんみり「と」,To be somber,,,
しれっと・けろり「と」・けろっと,To act as if nothing happened,ミスをした当人がけろりとしてる。ウソがばれてもしれっとしてる。ケロッと忘れる。怒鳴られてもケロッとしてる。けろっとした顔をする。,,
けろり「と」,To disappear/completely,痛みがけろりと取れた。けろりと約束を忘れる。,,
てんこ盛り,"A very large size, full of various things",今日のスケジュールはてんこ盛りだ。ライスのてんこ盛りサイズ。,,
自炊する（じすい）,"Cooking for oneself, to cook for oneself",私は自炊に慣れてる。,,
～に着く,To land on～,陸地に着くTo land on the ground,,
隆起する（りゅうき）,"A protrusion, to protrude",特に胸と海面から出る島」,,
幾久しく（いくひさ）,Forever,,,
酔い潰れる,To drink oneself dead drunk,あいつらは酔い潰れちゃった。その男は三杯で酔いつぶれてしまった。,,
御暇する（おいとま）,To return home,,,
頃合い（ころあ）,The ideal ~ for something (time/price etc.),程度の意味としても使う、潮時」頃合いを見てそのことをお父さんに話してあげるわ。君が休暇をとる頃合いだな。,,
ちゃらちゃらする,"To jingle/jangle, to fool around",男女関係で遊ぶとか、まじめでないさま」,,
チャライ・チャラチャラとした,To be flashy (bling bling),,,
腹ごなしに（はら）≪副詞≫,To help digestion,腹ごなしに散歩をする。,,
腹ごしらえする（はら）,To fortify oneself,腹ごしらえしてから出かける。山登りに備えて腹ごしらえしておく。,,
攻め入る（い）,To invade,,,
速攻する,"A swift attack, to do without delay",家に帰って速攻寝る。,,
石打にする（いしうち）,To stone someone,,,
働き詰め,Incessant working,,,
建国する,To found a nation,建国3千年を祝う。,,
撃滅する,"Annihilation, to annihilate",,,
先導する,"Leading, to lead",そのパレードは軍楽隊に先導された。彼は先生を先導に従った。,,
階段昇降機,A chair lift,,,
溶融（ようゆう）,Fusion,溶融燃料。,,
拡大解釈する,"A broad interpretation, to interpret broadly",,,
限定的な解釈,A narrow interpretation,,,
報道官,A press spokesperson,,,
面食らう,To be flustered/confused,不意の指名にすっかり面食らう。,,
仲間割れする・仲違いする（なかたがい）,To have a breaking off/discord,,,
拙稿（せっこう）,One's own manuscript (humble language),原稿の謙譲語」,,
探り当てる,"To grope around for, to find out",暗闇の中で壁のスイッチを探り当てる。,,
兼用する（けんよう）,"Dual use, to dually use as",昼夜兼用のカメラ。,,
凍結する,"A freeze, to freeze",財政支援の凍結を解除する。,,
入居する,To move into and live in a house,,,
療育する,"Rehabilitation, to rehabilitate",障害者が社会に戻れるよう支援する。,,
根幹,A basis,,,
むしろ,A woven mat,,,
席巻する（せっけん）,"Taking by storm, to take by storm",市場を席巻する。敵地を席巻する。外国資本が国内市場を席巻した。,,
随所,All over the place,,,
立地する,To decide a place for or build a factory in a certain place,,,
金融公庫,A financial corporation (loans),,,
